"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"Skipped test example.","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","data.AllureCategoriesTest","data.AllureCategoriesTest","skippedTest"
"Assertion failure.","16","failedTest()","","2026-07-10","failed","2026-07-10","","data.AllureCategoriesTest","data.AllureCategoriesTest","failedTest"
"","55","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"Simulates an intermittent timeout.","26","flakyTest()","","2026-07-10","broken","2026-07-10","","data.AllureCategoriesTest","data.AllureCategoriesTest","flakyTest"
"","1479","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","countsOnlyThisTestsOrders"
"A successful test.","1","passedTest()","","2026-07-10","passed","2026-07-10","","data.AllureCategoriesTest","data.AllureCategoriesTest","passedTest"
"","250","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","factoryPersistsBuilderData"
"","1","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","65","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","resetMakesTestsIndependent"
"","1","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","7","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderUsesSensibleDefaults"
"Unexpected NullPointerException.","2","brokenTest()","","2026-07-10","broken","2026-07-10","","data.AllureCategoriesTest","data.AllureCategoriesTest","brokenTest"
